;tamanho_arranjo;rodada;min;max;chave;presente;metodo;comparacoes;tempo;posicao;cenario
125;100000;35;159;9999537;9282809.0;True;Sequencial;92765.0;0.023824679999961518;92764.0;Aleatório
126;100000;35;159;9999537;9282809.0;True;Por saltos;470.0;0.0001981179998438165;92764.0;Aleatório
127;100000;35;159;9999537;9282809.0;True;Binária;14.0;1.457799999116105e-05;92764.0;Aleatório
128;100000;36;159;9999537;756348.0;True;Sequencial;7502.0;0.0037032610002825095;7501.0;Aleatório
129;100000;36;159;9999537;756348.0;True;Por saltos;257.0;5.266700009087799e-05;7501.0;Aleatório
130;100000;36;159;9999537;756348.0;True;Binária;15.0;9.786999726202339e-06;7501.0;Aleatório
131;100000;37;159;9999537;2119470.0;True;Sequencial;21271.0;0.0056217900000774534;21270.0;Aleatório
132;100000;37;159;9999537;2119470.0;True;Por saltos;166.0;0.00022744600028090645;21270.0;Aleatório
133;100000;37;159;9999537;2119470.0;True;Binária;17.0;1.1599000117712421e-05;21270.0;Aleatório
134;100000;38;159;9999537;2040802.0;False;Sequencial;100000.0;0.025106869999945047;;Aleatório
135;100000;38;159;9999537;2040802.0;False;Por saltos;381.0;0.00016165799979717121;;Aleatório
136;100000;38;159;9999537;2040802.0;False;Binária;16.0;1.864000023488188e-05;;Aleatório
137;100000;39;159;9999537;5733030.0;True;Sequencial;57234.0;0.017415344000255573;57233.0;Aleatório
138;100000;39;159;9999537;5733030.0;True;Por saltos;219.0;0.00011334900000292691;57233.0;Aleatório
139;100000;39;159;9999537;5733030.0;True;Binária;17.0;1.772599989635637e-05;57233.0;Aleatório
140;100000;40;159;9999537;3578198.0;True;Sequencial;35857.0;0.015690513999743416;35856.0;Aleatório
141;100000;40;159;9999537;3578198.0;True;Por saltos;262.0;9.528999999020016e-05;35856.0;Aleatório
142;100000;40;159;9999537;3578198.0;True;Binária;14.0;1.2599000001500826e-05;35856.0;Aleatório
143;100000;41;159;9999537;434919.0;True;Sequencial;4363.0;0.004968043999724614;4362.0;Aleatório
144;100000;41;159;9999537;434919.0;True;Por saltos;268.0;0.00012099700006729108;4362.0;Aleatório
146;100000;42;159;9999537;2756695.0;False;Sequencial;100000.0;0.0321510449998641;;Aleatório
147;100000;42;159;9999537;2756695.0;False;Por saltos;404.0;0.00011367899969627615;;Aleatório
148;100000;42;159;9999537;2756695.0;False;Binária;16.0;2.4981000024126843e-05;;Aleatório
149;100000;43;159;9999537;9392703.0;True;Sequencial;93854.0;0.027647324999634293;93853.0;Aleatório
150;100000;43;159;9999537;9392703.0;True;Por saltos;299.0;0.00017636699976719683;93853.0;Aleatório
151;100000;43;159;9999537;9392703.0;True;Binária;16.0;2.0538000171654858e-05;93853.0;Aleatório
